FILEPATH;ERRCODE;INODE;TYPE;PERM;OWNER;OWNERID;GROUP;GROUPID;DAY;TIME;DEPTH;SIZE;NBLINES;MD5SUM;
.;;7536827;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20190914;165725;0;;;;;
./bat;;7528559;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181534;1;;;;;
./bat/scan_dir_files.sh;;7481118;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181534;2;8;130;6baaeeca4758b9f88a9e72db62094359;;
./bat/scan_pictures_metadata.sh;;7483821;f;rw-rw-r--;zidmann;1001;zidmann;1001;20190916;083754;2;4;5;6434629785c3b816409494e0f44b1df5;;
./conf;;7528563;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181406;1;;;;;
./conf/scan_dir_files.env;;7482077;f;rw-rw-r--;zidmann;1001;zidmann;1001;20190820;070339;2;4;9;8f973977a9827e8a07aea754cbae626d;;
./log;;7528560;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181547;1;;;;;
./log/scan_dir_files.Mr-Hyde.20200419.181547.log;;7478568;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200419;181547;2;4;16;f95642541b4af1b23675ed25ddf77df2;;
./report;;7528564;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181547;1;;;;;
./report/scan_dir_files.Mr-Hyde.20200419.181547.csv;;7480439;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200419;181547;2;4;1;d5139d70c2cdc6ab601c282e7359ea42;;
./tmp;;7528561;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20200419;181547;1;;;;;
./tmp/scan_dir_files.1.14034.tmp;;7483090;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200419;181547;2;4;4;9e7cf89e16d8f88358857cf8e7bcec84;;
./tmp/scan_dir_files.2.14034.tmp;;7483091;f;rw-rw-r--;zidmann;1001;zidmann;1001;20200419;181547;2;0;0;d41d8cd98f00b204e9800998ecf8427e;;
./util;;7528558;d;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181457;1;;;;;
./util/analyze_file.sh;;7478571;f;rwxrwxr-x;zidmann;1001;zidmann;1001;20191013;181457;2;4;91;cce4f358cf996ec114ac5202c4716568;;
